country,kg/person_2002,kg/person_2009,kg/person_2017
Albania,38.2,44.1,41.78
Algeria,18.4,19.5,20.32
American Samoa,24.9,26.8,
Angola,25,22.4,23.43
Antigua and Barbuda,56,84.3,74.56
Argentina,79.7,98.3,112.17
Armenia,27.7,45.8,41.96
Australia,108.2,111.5,114.26
Austria,94.1,102,84.94
Azerbaijan,15.9,32,33.91
Bahamas,123.6,109.5,87.93
Bahrain,70.7,,
Bangladesh,3.1,4,4.27
Barbados,88.7,74.5,87.93
Belarus,58.6,78.4,81.57
Belgium,86.1,76.9,54.19
Belize,74.7,42.5,41.07
Benin,16.2,20.9,16.82
Bhutan,3,,
Bolivia,50,59.1,81.98
Bosnia and Herzegovina,21.4,27.9,40.98
Botswana,27.3,26.2,24.48
Brazil,82.4,85.3,99.36
Bulgaria,69.4,53,57.03
Burkina Faso,11.2,14.8,12.75
Burundi,3.5,5.2,
Cambodia,13.9,16.6,12.67
Cameroon,14.4,12.7,12.27
Canada,108.1,94.3,90.09
Cape Verde,26.3,46.1,31.93
Côte d'Ivoire,11.3,13.3,11.22
Central African Republic,28,33.5,32.13
Chad,14.3,13,11.56
Chile,66.4,74.1,86.63
China,52.4,58.2,61.7
Colombia,33.9,46.5,57.84
Comoros,7.6,13.4,
Republic of the Congo,13.3,13.4,39.34
Democratic Republic of the Congo,4.8,5.3,
Costa Rica,40.4,51.1,51.06
Croatia,49.9,66.3,75.19
Cuba,32.2,49.4,60.24
Cyprus,131.3,78.1,76.87
Czech Republic,77.3,83.4,80.43
Denmark,145.9,95.2,76.87
Djibouti,17.1,23.7,15.39
Dominica,67.1,68.6,60.49
Dominican Republic,37.8,53.7,52.03
Ecuador,45,56.4,46.04
Egypt,22.5,25.6,28.51
El Salvador,21.4,28.3,33.54
Eritrea,7.7,7.7,
Estonia,67.4,59.6,63.43
Ethiopia,7.9,8.5,7.2
Fiji,39.1,38.8,41.16
Finland,67.4,74.8,75.38
France,101.1,86.7,77.97
French Guiana,13.2,14.6,
French Polynesia,112.2,101.9,89.68
Gabon,46,66.4,58.24
The Gambia,5.2,8.1,7.82
Georgia,26,25.5,31.97
Germany,82.1,88.1,80.5
Ghana,9.9,13.9,13.82
Greece,78.7,74.8,68.65
