country,kg/person_2017,alcconsumption,both.sexes,male,female
United States of America,121.0,9.7,37.3,36.5,38.2
Australia,114.26,10.21,30.4,30.7,30.1
Argentina,112.17,9.35,28.5,27.4,29.6
Brazil,99.36,10.08,22.3,18.5,25.9
Israel,97.82,2.52,26.7,26.1,27.2
Samoa,97.76,4.51,45.5,38.2,53.2
Saint Vincent and the Grenadines,93.38,4.99,23.8,16.7,31.0
Saint Lucia,91.82,12.05,19.8,12.0,27.2
Portugal,90.99,13.89,23.2,22.1,24.2
Canada,90.09,10.2,31.3,31.2,31.5
Iceland,89.93,7.38,23.1,25.3,20.9
Poland,88.67,14.43,25.6,25.4,25.7
New Zealand,87.95,9.99,32.0,31.0,32.9
Bahamas,87.93,8.65,32.1,24.8,39.0
Barbados,87.93,6.42,24.8,15.6,33.8
Mongolia,87.9,3.41,19.6,16.7,22.4
Saint Kitts and Nevis,87.31,10.62,23.1,15.4,30.5
Chile,86.63,8.81,28.8,25.5,32.1
Austria,84.94,12.4,21.9,23.4,20.6
Belarus,81.57,18.85,26.6,23.5,29.1
Lithuania,81.25,16.3,28.4,25.3,30.9
Malta,81.1,4.1,31.0,30.9,31.2
Germany,80.5,12.14,25.7,26.6,24.9
Luxembourg,80.08,12.84,24.2,26.0,22.4
United Kingdom,79.86,13.24,29.5,28.6,30.4
Hungary,79.74,16.12,28.6,29.9,27.5
France,77.97,12.48,23.2,23.5,23.0
Italy,77.52,9.72,22.9,22.5,23.3
Cyprus,76.87,8.84,22.6,22.4,22.8
Denmark,76.87,12.02,21.3,23.7,18.9
Ireland,76.85,14.92,26.9,26.5,27.3
Montenegro,76.39,,24.9,24.5,25.2
Trinidad and Tobago,75.5,6.16,19.7,11.4,27.7
Finland,75.38,13.1,24.9,25.7,24.2
Croatia,75.19,15.0,27.1,26.0,28.2
Antigua and Barbuda,74.56,8.17,19.1,11.7,26.3
Sweden,74.04,9.5,22.1,24.2,20.0
Slovenia,73.14,14.94,22.5,21.4,23.6
Latvia,68.72,13.45,25.7,22.9,28.0
Greece,68.65,11.01,27.4,26.0,28.7
United Arab Emirates,68.59,0.52,29.9,26.7,38.8
Romania,67.87,16.15,24.5,24.9,24.2
Norway,67.62,8.35,25.0,25.1,24.8
Mexico,67.54,8.55,28.4,23.7,32.6
Kuwait,67.46,0.1,37.0,33.0,43.9
Switzerland,66.1,11.41,21.2,23.7,18.8
Panama,64.67,7.3,22.5,17.6,27.5
Netherlands,64.5,9.75,23.1,22.7,23.4
Kazakhstan,64.49,11.1,21.3,18.8,23.4
Estonia,63.43,17.24,23.8,21.9,25.3
